时间  消耗/获得 御魂名称  御魂等级  物品位置  主属性 用途
12-01 21:35 消耗  魅妖  0 二号位6星 防御加成  奉纳消耗
12-01 21:34 消耗  三味  0 六号位6星 攻击加成  奉纳消耗
12-01 21:34 消耗  镜姬  0 六号位6星 防御加成  奉纳消耗
12-01 21:34 消耗  鸣屋  0 六号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  被服  0 六号位6星 攻击加成  奉纳消耗
12-01 21:34 消耗  镜姬  0 六号位6星 攻击加成  奉纳消耗
12-01 21:34 消耗  蝠翼  0 六号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  钟灵  0 六号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  反枕  0 六号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  被服  0 六号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  地藏像 0 六号位6星 攻击加成  奉纳消耗
12-01 21:34 消耗  鸣屋  0 六号位6星 防御加成  奉纳消耗
12-01 21:34 消耗  三味  0 六号位6星 防御加成  奉纳消耗
12-01 21:34 消耗  蝠翼  0 六号位6星 防御加成  奉纳消耗
12-01 21:34 消耗  魍魉之匣  0 六号位6星 攻击加成  奉纳消耗
12-01 21:34 消耗  针女  0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  鸣屋  0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  魍魉之匣  0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  返魂香 0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  返魂香 0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  网切  0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  轮入道 0 四号位6星 防御加成  奉纳消耗
12-01 21:34 消耗  三味  0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  鸣屋  0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  薙魂  0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  涅槃之火  0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  日女巳时  0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  薙魂  0 四号位6星 攻击加成  奉纳消耗
12-01 21:34 消耗  返魂香 0 四号位6星 生命加成  奉纳消耗
12-01 21:34 消耗  返魂香 0 四号位6星 攻击加成  奉纳消耗
12-01 21:34 消耗  返魂香 0 四号位6星 生命加成  奉纳消耗
12-01 21:31 获得  返魂香 0 五号位6星 生命  商店兑换
12-01 21:31 消耗  日女巳时  0 五号位5星 生命  奉纳消耗
12-01 21:31 消耗  日女巳时  0 二号位5星 生命加成  奉纳消耗
12-01 21:31 消耗  钟灵  0 六号位5星 攻击加成  奉纳消耗
12-01 21:31 消耗  镜姬  0 六号位5星 攻击加成  奉纳消耗
12-01 21:31 消耗  镜姬  0 三号位5星 防御  奉纳消耗
12-01 21:31 消耗  钟灵  0 五号位5星 生命  奉纳消耗
12-01 21:31 消耗  日女巳时  0 六号位5星 攻击加成  奉纳消耗
12-01 21:31 消耗  日女巳时  0 二号位5星 攻击加成  奉纳消耗
12-01 21:31 消耗  镜姬  0 一号位5星 攻击  奉纳消耗
12-01 21:31 消耗  日女巳时  0 一号位5星 攻击  奉纳消耗
12-01 21:31 消耗  日女巳时  0 一号位5星 攻击  奉纳消耗
12-01 21:31 消耗  钟灵  0 四号位5星 生命加成  奉纳消耗
12-01 21:31 消耗  镜姬  0 二号位5星 防御加成  奉纳消耗
12-01 21:31 消耗  日女巳时  0 二号位5星 攻击加成  奉纳消耗
12-01 20:42 获得  轮入道 0 一号位6星 攻击  阴界之门奖励
12-01 19:53 获得  钟灵  0 五号位5星 生命  御魂副本
12-01 19:51 获得  镜姬  0 一号位5星 攻击  御魂副本
12-01 19:51 获得  镜姬  0 三号位5星 防御  御魂副本
12-01 19:50 获得  日女巳时  0 一号位5星 攻击  御魂副本
12-01 19:50 获得  日女巳时  0 二号位5星 攻击加成  御魂副本
12-01 19:50 获得  钟灵  0 四号位5星 生命加成  御魂副本
12-01 19:48 获得  日女巳时  0 二号位5星 生命加成  御魂副本
12-01 19:45 获得  日女巳时  0 一号位5星 攻击  御魂副本
12-01 19:44 获得  日女巳时  0 五号位5星 生命  御魂副本
12-01 19:42 获得  镜姬  0 六号位5星 攻击加成  御魂副本
12-01 19:41 获得  镜姬  0 二号位5星 防御加成  御魂副本
12-01 19:41 获得  日女巳时  0 一号位6星 攻击  御魂副本
12-01 17:25 获得  钟灵  0 六号位5星 攻击加成  御魂副本
12-01 17:25 获得  镜姬  0 一号位6星 攻击  御魂副本
12-01 17:16 获得  日女巳时  0 六号位5星 攻击加成  御魂副本
12-01 17:16 获得  日女巳时  0 二号位5星 攻击加成  御魂副本
12-01 03:43 消耗  破势  3 五号位6星 生命  御魂强化
12-01 03:17 获得  阴摩罗 0 五号位6星 生命  
12-01 03:17 获得  反枕  0 六号位6星 生命加成  
12-01 03:15 消耗  破势  0 六号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  日女巳时  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  钟灵  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  镜姬  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  破势  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  钟灵  0 四号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  镜姬  0 六号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  镜姬  0 一号位5星 攻击  奉纳消耗
12-01 03:15 消耗  钟灵  0 四号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  日女巳时  0 四号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  日女巳时  0 二号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  日女巳时  0 六号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  破势  0 二号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 四号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 六号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  镜姬  0 六号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  破势  0 六号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  镜姬  0 四号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  破势  0 二号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 六号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  日女巳时  0 一号位5星 攻击  奉纳消耗
12-01 03:15 消耗  镜姬  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  钟灵  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  破势  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  日女巳时  0 六号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  日女巳时  0 二号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  镜姬  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  钟灵  0 二号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  日女巳时  0 一号位5星 攻击  奉纳消耗
12-01 03:15 消耗  钟灵  0 六号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  日女巳时  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  破势  0 一号位5星 攻击  奉纳消耗
12-01 03:15 消耗  日女巳时  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  破势  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  破势  0 一号位5星 攻击  奉纳消耗
12-01 03:15 消耗  日女巳时  0 四号位5星 效果抵抗  奉纳消耗
12-01 03:15 消耗  日女巳时  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  镜姬  0 六号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  破势  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  日女巳时  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  破势  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  破势  0 六号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  破势  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  日女巳时  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  日女巳时  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  破势  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  钟灵  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  钟灵  0 六号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  破势  0 二号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  镜姬  0 一号位5星 攻击  奉纳消耗
12-01 03:15 消耗  镜姬  0 二号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  破势  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  破势  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  钟灵  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  破势  0 二号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 四号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  镜姬  0 二号位5星 速度  奉纳消耗
12-01 03:15 消耗  钟灵  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  钟灵  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  日女巳时  0 六号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  破势  0 四号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 一号位5星 攻击  奉纳消耗
12-01 03:15 消耗  日女巳时  0 二号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  破势  0 一号位5星 攻击  奉纳消耗
12-01 03:15 消耗  钟灵  0 一号位5星 攻击  奉纳消耗
12-01 03:15 消耗  日女巳时  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  破势  0 六号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  日女巳时  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  日女巳时  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  镜姬  0 二号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 一号位5星 攻击  奉纳消耗
12-01 03:15 消耗  钟灵  0 二号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  日女巳时  0 四号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  日女巳时  0 六号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  镜姬  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  破势  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  钟灵  0 二号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  镜姬  0 一号位5星 攻击  奉纳消耗
12-01 03:15 消耗  镜姬  0 六号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  镜姬  0 六号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  镜姬  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  破势  0 二号位5星 速度  奉纳消耗
12-01 03:15 消耗  镜姬  0 五号位5星 生命  奉纳消耗
12-01 03:15 消耗  日女巳时  0 六号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 四号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  破势  0 三号位5星 防御  奉纳消耗
12-01 03:15 消耗  日女巳时  0 二号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  破势  0 二号位5星 生命加成  奉纳消耗
12-01 03:15 消耗  破势  0 四号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  镜姬  0 二号位5星 攻击加成  奉纳消耗
12-01 03:15 消耗  日女巳时  0 二号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 四号位5星 防御加成  奉纳消耗
12-01 03:15 消耗  钟灵  0 二号位5星 速度  奉纳消耗
12-01 03:09 获得  镜姬  0 四号位5星 防御加成  御魂副本
12-01 03:09 获得  破势  0 五号位5星 生命  御魂副本
12-01 03:07 获得  钟灵  0 二号位5星 攻击加成  御魂副本
12-01 03:06 获得  钟灵  0 六号位5星 攻击加成  御魂副本
12-01 02:54 获得  钟灵  0 二号位5星 攻击加成  御魂副本
12-01 02:54 获得  破势  0 二号位5星 生命加成  御魂副本
12-01 02:54 获得  破势  0 四号位5星 攻击加成  御魂副本
12-01 02:51 获得  镜姬  0 三号位5星 防御  御魂副本
12-01 02:50 获得  破势  0 二号位5星 攻击加成  御魂副本
12-01 02:50 获得  镜姬  0 一号位5星 攻击  御魂副本
12-01 02:48 获得  破势  0 二号位5星 速度  御魂副本
12-01 02:45 获得  日女巳时  0 二号位5星 防御加成  御魂副本
12-01 02:41 获得  钟灵  0 五号位5星 生命  御魂副本
12-01 02:40 获得  钟灵  0 三号位5星 防御  御魂副本
12-01 02:29 获得  镜姬  0 二号位5星 攻击加成  御魂副本
12-01 02:29 获得  钟灵  0 一号位5星 攻击  御魂副本
12-01 02:29 获得  日女巳时  0 五号位5星 生命  御魂副本
12-01 02:17 获得  破势  0 五号位5星 生命  御魂副本
12-01 02:15 获得  破势  0 六号位5星 攻击加成  御魂副本
12-01 02:15 获得  日女巳时  0 二号位5星 防御加成  御魂副本
12-01 02:15 获得  镜姬  0 三号位5星 防御  御魂副本
12-01 02:14 获得  镜姬  0 三号位5星 防御  御魂副本
12-01 02:12 获得  日女巳时  0 三号位5星 防御  御魂副本
12-01 02:04 获得  破势  0 六号位5星 防御加成  御魂副本
12-01 02:04 获得  日女巳时  0 四号位5星 生命加成  御魂副本
12-01 01:55 获得  镜姬  0 六号位5星 攻击加成  御魂副本
12-01 01:53 获得  破势  0 二号位5星 生命加成  御魂副本
12-01 01:53 获得  镜姬  0 六号位6星 生命加成  御魂副本
12-01 01:52 获得  日女巳时  0 三号位5星 防御  御魂副本
12-01 01:44 获得  钟灵  0 五号位5星 生命  御魂副本
12-01 01:44 获得  钟灵  0 五号位5星 生命  御魂副本
12-01 01:41 获得  钟灵  0 五号位5星 生命  御魂副本
12-01 01:40 获得  破势  0 五号位5星 生命  御魂副本
12-01 01:38 获得  日女巳时  0 六号位5星 攻击加成  御魂副本
12-01 01:38 获得  钟灵  0 四号位5星 攻击加成  御魂副本
12-01 01:37 获得  镜姬  0 五号位5星 生命  御魂副本
12-01 01:35 获得  破势  0 二号位5星 防御加成  御魂副本
12-01 01:35 获得  钟灵  0 四号位5星 攻击加成  御魂副本
12-01 01:35 获得  日女巳时  0 三号位5星 防御  御魂副本
12-01 01:31 获得  钟灵  0 六号位5星 生命加成  御魂副本
12-01 01:31 获得  日女巳时  0 一号位5星 攻击  御魂副本
12-01 01:31 获得  镜姬  0 一号位6星 攻击  御魂副本
12-01 01:30 获得  钟灵  0 三号位5星 防御  御魂副本
12-01 01:28 获得  日女巳时  0 六号位5星 防御加成  御魂副本
12-01 01:27 获得  日女巳时  0 三号位5星 防御  御魂副本
12-01 01:22 获得  日女巳时  0 一号位6星 攻击  御魂副本
12-01 01:22 获得  破势  0 五号位5星 生命  御魂副本
12-01 01:20 获得  钟灵  0 四号位5星 防御加成  御魂副本
12-01 01:20 获得  钟灵  0 二号位5星 速度  御魂副本
12-01 01:19 获得  镜姬  0 二号位5星 攻击加成  御魂副本
12-01 01:17 获得  钟灵  0 五号位5星 生命  御魂副本
12-01 01:17 获得  破势  0 三号位5星 防御  御魂副本
12-01 01:16 获得  破势  0 六号位5星 生命加成  御魂副本
12-01 01:16 获得  破势  0 三号位5星 防御  御魂副本
12-01 01:15 获得  破势  0 四号位5星 防御加成  御魂副本
12-01 01:12 获得  破势  0 六号位5星 防御加成  御魂副本
12-01 01:11 获得  日女巳时  0 一号位5星 攻击  御魂副本
12-01 01:05 获得  日女巳时  0 五号位5星 生命  御魂副本
12-01 01:05 获得  破势  0 一号位5星 攻击  御魂副本
12-01 01:04 获得  破势  0 一号位5星 攻击  御魂副本
12-01 01:00 获得  日女巳时  0 二号位5星 防御加成  御魂副本
12-01 00:59 获得  破势  0 三号位5星 防御  御魂副本
12-01 00:55 获得  钟灵  0 六号位5星 攻击加成  御魂副本
12-01 00:55 获得  钟灵  0 五号位5星 生命  御魂副本
12-01 00:52 获得  钟灵  0 三号位5星 防御  御魂副本
12-01 00:47 获得  镜姬  0 二号位5星 速度  御魂副本
12-01 00:46 获得  钟灵  0 四号位5星 防御加成  御魂副本
12-01 00:46 获得  镜姬  0 六号位5星 防御加成  御魂副本
12-01 00:45 获得  破势  0 五号位5星 生命  御魂副本
12-01 00:45 获得  破势  0 五号位5星 生命  御魂副本
12-01 00:41 获得  日女巳时  0 六号位5星 生命加成  御魂副本
12-01 00:40 获得  日女巳时  0 二号位5星 攻击加成  御魂副本
12-01 00:38 获得  日女巳时  0 五号位5星 生命  御魂副本
12-01 00:37 获得  日女巳时  0 三号位5星 防御  御魂副本
12-01 00:37 获得  钟灵  0 一号位5星 攻击  御魂副本
12-01 00:37 获得  钟灵  0 四号位6星 攻击加成  御魂副本
12-01 00:36 获得  破势  0 一号位5星 攻击  御魂副本
12-01 00:35 获得  日女巳时  0 六号位5星 生命加成  御魂副本
12-01 00:35 获得  日女巳时  0 二号位5星 攻击加成  御魂副本
12-01 00:35 获得  镜姬  0 五号位5星 生命  御魂副本
12-01 00:33 获得  钟灵  0 二号位5星 生命加成  御魂副本
12-01 00:33 获得  日女巳时  0 四号位5星 生命加成  御魂副本
12-01 00:32 获得  镜姬  0 六号位5星 攻击加成  御魂副本
12-01 00:31 获得  镜姬  0 一号位5星 攻击  御魂副本
12-01 00:29 获得  日女巳时  0 三号位5星 防御  御魂副本
12-01 00:28 获得  破势  0 三号位5星 防御  御魂副本
12-01 00:28 获得  镜姬  0 六号位5星 生命加成  御魂副本
12-01 00:28 获得  钟灵  0 六号位5星 防御加成  御魂副本
12-01 00:25 获得  钟灵  0 一号位5星 攻击  御魂副本
12-01 00:24 获得  日女巳时  0 四号位5星 效果抵抗  御魂副本
12-01 00:24 获得  日女巳时  0 三号位5星 防御  御魂副本
12-01 00:24 获得  镜姬  0 六号位5星 生命加成  御魂副本
12-01 00:23 获得  镜姬  0 一号位5星 攻击  御魂副本
12-01 00:21 获得  镜姬  0 一号位6星 攻击  御魂副本
12-01 00:21 获得  镜姬  0 六号位6星 暴击  御魂副本
12-01 00:20 获得  破势  0 五号位5星 生命  御魂副本
12-01 00:17 获得  镜姬  0 二号位5星 攻击加成  御魂副本
12-01 00:17 获得  钟灵  0 一号位6星 攻击  御魂副本
12-01 00:17 获得  镜姬  0 五号位5星 生命  御魂副本
12-01 00:16 获得  日女巳时  0 六号位5星 防御加成  御魂副本
12-01 00:16 获得  破势  0 二号位5星 生命加成  御魂副本
12-01 00:15 获得  镜姬  0 五号位6星 生命  御魂副本
12-01 00:12 获得  钟灵  0 四号位5星 生命加成  御魂副本
12-01 00:06 消耗  破势  6 五号位6星 生命  御魂强化
12-01 00:04 获得  钟灵  0 四号位5星 攻击加成  
